,sentence,term,polarity,from,to,ln
187,"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.","['stuff', 'waiter', 'dessert', 'staff']","['positive', 'positive', 'positive', 'positive']","['14', '46', '90', '192']","['19', '52', '97', '197']","[5, 6, 7, 5]"
188,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",['burgers'],['negative'],['20'],['27'],[7]
189,"Considering their price of $6.25 for lunch special, the dish was ridiculously small.","['price', 'dish', 'lunch special']","['negative', 'negative', 'negative']","['18', '56', '37']","['23', '60', '50']","[5, 4, 13]"
190,Consistently good Japanese Tapas.,['Japanese Tapas'],['positive'],['18'],['32'],[14]
191,Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,"['dinner', 'setting']","['positive', 'positive']","['149', '126']","['155', '133']","[6, 7]"
192,Could be pricey without a prix fixe meal.,['prix fixe meal'],['negative'],['26'],['40'],[14]
193,Cozy romantic atomosphere with only around 15 tables at most.,"['atomosphere', 'tables']","['positive', 'positive']","['14', '46']","['25', '52']","[11, 6]"
194,"Cute place, nice wait staff but would never go there again.","['wait staff', 'place']","['positive', 'positive']","['17', '5']","['27', '10']","[10, 5]"
195,DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,['taste'],['negative'],['116'],['121'],[5]
196,Dahkin also offers prix fixe lunch and buffet.,"['prix fixe lunch', 'buffet']","['positive', 'positive']","['19', '39']","['34', '45']","[15, 6]"
197,"Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.","['Thai food', 'service']","['positive', 'negative']","['7', '74']","['16', '81']","[9, 7]"
198,Decent wine at reasonable prices.,"['wine', 'prices']","['positive', 'positive']","['7', '26']","['11', '32']","[4, 6]"
199,Decent wine selection too.,['wine selection'],['positive'],['7'],['21'],[14]
200,Decor is charming.,['Decor'],['positive'],['0'],['5'],[5]
201,Decor is minimalist and clean - nothing to distract or commend.,['Decor'],['neutral'],['0'],['5'],[5]
202,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.","['Decor', 'food', 'wine list', 'food']","['positive', 'positive', 'positive', 'neutral']","['0', '30', '86', '108']","['5', '34', '95', '112']","[5, 4, 9, 4]"
203,Decor is nice though service can be spotty.,"['Decor', 'service']","['positive', 'negative']","['0', '21']","['5', '28']","[5, 7]"
204,Decor leaves something to be desired.,['Decor'],['negative'],['0'],['5'],[5]
205,Deep Fried Skewers are good and still rare to find in NYC.,['Deep Fried Skewers'],['positive'],['0'],['18'],[18]
206,Definite go if you're used to good Indian restaurant food from abroad.,['Indian restaurant food'],['positive'],['35'],['57'],[22]
207,Definitely not worth the price!,['price'],['negative'],['25'],['30'],[5]
208,"Delicate spices, onions, eggs and a kick-ass roti.","['spices', 'onions', 'eggs', 'roti']","['positive', 'positive', 'positive', 'positive']","['9', '17', '25', '45']","['15', '23', '29', '49']","[6, 6, 4, 4]"
209,Delicious crab cakes too.,['crab cakes'],['positive'],['10'],['20'],[10]
210,Delicious food at a great price but do not go here on a cold day and sit by the front door.,"['food', 'price', 'front door']","['positive', 'positive', 'neutral']","['10', '26', '80']","['14', '31', '90']","[4, 5, 10]"
211,"Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!","['food', 'service', 'atmosphere', 'lunch buffet', 'dinner', 'lunch']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","['10', '26', '48', '109', '88', '157']","['14', '33', '58', '121', '94', '162']","[4, 7, 10, 12, 6, 5]"
212,Deliveries often take up to an hour and the prices are higher than most other pizzerias in the area.,"['Deliveries', 'prices']","['negative', 'negative']","['0', '44']","['10', '50']","[10, 6]"
213,Delivery is fast too.,['Delivery'],['positive'],['0'],['8'],[8]
214,Delivery service is great too.,['Delivery service'],['positive'],['0'],['16'],[16]
215,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.","['menu', 'food art']","['negative', 'positive']","['27', '102']","['31', '110']","[4, 8]"
216,"Despite the fact that the space is large, they've overcrowded the floor with tables.","['space', 'tables']","['positive', 'negative']","['26', '77']","['31', '83']","[5, 6]"
217,"Dessert - can't be missed, so save room!!!",['Dessert'],['positive'],['0'],['7'],[7]
218,Did I mention the wine?,['wine'],['neutral'],['18'],['22'],[4]
219,Diner food at bistro prices is a bummer....,"['food', 'prices']","['negative', 'negative']","['6', '21']","['10', '27']","[4, 6]"
220,Dinner took almost 4 hours without any lag time.,['Dinner'],['negative'],['0'],['6'],[6]
221,"Dip the ingredients in with your chopsticks, swirl them around, and eat.","['ingredients', 'chopsticks']","['neutral', 'neutral']","['8', '33']","['19', '43']","[11, 10]"
222,"Disappointing food, lousy service.","['food', 'service']","['negative', 'negative']","['14', '26']","['18', '33']","[4, 7]"
223,"Do not get the Go Go Hamburgers, no matter what the reviews say.",['Go Go Hamburgers'],['negative'],['15'],['31'],[16]
224,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.","['vegetarian dishes', 'non-veg selections']","['negative', 'positive']","['31', '89']","['48', '107']","[17, 18]"
225,Don't eat here unless you're starving for thai food and you work next door.,['thai food'],['negative'],['42'],['51'],[9]
226,"Don't expect to sit down inside though, there are only a few tables and they are always full.",['tables'],['negative'],['61'],['67'],[6]
227,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['pickles', 'selection of meats and seafoods']","['positive', 'positive']","['77', '91']","['84', '122']","[7, 31]"
228,Don't waste money on decor.,['decor'],['neutral'],['21'],['26'],[5]
229,Downstairs lounge is always a good attraction,['Downstairs lounge'],['positive'],['0'],['17'],[17]
230,Drawbacks: service is slow and they don't toast!,['service'],['negative'],['11'],['18'],[7]
231,"Drinks got screwed up, she acted put upon.",['Drinks'],['negative'],['0'],['6'],[6]
232,Drinks way over priced.,"['Drinks', 'priced']","['negative', 'negative']","['0', '16']","['6', '22']","[6, 6]"
233,"During our meal, the management came over and checked on us and even bought us a round of drinks.","['management', 'meal', 'round of drinks']","['positive', 'neutral', 'neutral']","['21', '11', '81']","['31', '15', '96']","[10, 4, 15]"
234,"During the course of the past 3 months, the chef and staff changed and it was not for the better.","['chef', 'staff']","['negative', 'negative']","['44', '53']","['48', '58']","[4, 5]"
235,"Each bite of food at Kai was indeed delicious, fresh, and elegant.",['food'],['positive'],['13'],['17'],[4]
236,"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.","['table', 'pot of boiling water', 'meats', 'vegetables', 'rice', 'glass noodles']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']","['5', '17', '99', '114', '130', '139']","['10', '37', '104', '124', '134', '152']","[5, 20, 5, 10, 4, 13]"
237,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",['atmosphere'],['positive'],['15'],['25'],[10]
238,Edible but really a ripoff at those prices given whats in the area.,['prices'],['negative'],['36'],['42'],[6]
239,"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",['owner'],['positive'],['12'],['17'],[5]
240,"Especially liked chicken tikka and the naan, and the dals.","['chicken tikka', 'naan', 'dals']","['positive', 'positive', 'positive']","['17', '39', '53']","['30', '43', '57']","[13, 4, 4]"
241,Ess-A-Bagel (either by Sty-town or midtown) is by far the best bagel in NY.,['bagel'],['positive'],['63'],['68'],[5]
242,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",['Pizza'],['positive'],['202'],['207'],[5]
243,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it.","['Steak au Poivre', 'Onglet']","['positive', 'positive']","['56', '76']","['71', '82']","[15, 6]"
244,"Even if the food wasn't this good, the garden is a great place to sit outside and relax.","['food', 'garden', 'place']","['positive', 'positive', 'positive']","['12', '39', '57']","['16', '45', '62']","[4, 6, 5]"
245,Even the pasta is delicious here (a rarity in New York pizza restaurants).,['pasta'],['positive'],['9'],['14'],[5]
246,"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!","['table', 'reservation', 'seated']","['positive', 'positive', 'positive']","['103', '23', '91']","['108', '34', '97']","[5, 11, 6]"
247,"Even though its good seafood, the prices are too high.","['seafood', 'prices']","['positive', 'negative']","['21', '34']","['28', '40']","[7, 6]"
248,"Even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.","['table', 'seated']","['positive', 'positive']","['84', '47']","['89', '53']","[5, 6]"
249,"Even upon delivery, their juicy pork buns are quite good . .",['pork buns'],['positive'],['32'],['41'],[9]
250,"Even with a relatively inexpensive botle of wine, if you can call $70.00 inexpensive, the cost is through the roof for better than average fare.","['cost', 'botle of wine']","['negative', 'conflict']","['90', '35']","['94', '48']","[4, 13]"
251,"Even with the prix fixe pricing, this restaurant is not worth it.",['prix fixe pricing'],['conflict'],['14'],['31'],[17]
252,Every course was better than the next.,['course'],['positive'],['6'],['12'],[6]
253,Every waitress and customer who passed by me bumped into my chair.,['waitress'],['neutral'],['6'],['14'],[8]
254,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","['service', 'decor']","['positive', 'positive']","['47', '73']","['54', '78']","[7, 5]"
255,"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.","['menu', 'view']","['positive', 'positive']","['29', '73']","['33', '77']","[4, 4]"
256,"Everything looks great, the drinks, the decor, the food, even the people.","['drinks', 'decor', 'food']","['positive', 'positive', 'positive']","['28', '40', '51']","['34', '45', '55']","[6, 5, 4]"
257,"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.","['bread', 'salad', 'service', 'food', 'wait']","['negative', 'negative', 'negative', 'negative', 'negative']","['26', '39', '95', '128', '60']","['31', '44', '102', '132', '64']","[5, 5, 7, 4, 4]"
258,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,"['soup', 'mushrooms']","['positive', 'positive']","['15', '65']","['19', '74']","[4, 9]"
259,"Excellent atmosphere, delicious dishes good and friendly service.","['atmosphere', 'dishes', 'service']","['positive', 'positive', 'positive']","['10', '32', '57']","['20', '38', '64']","[10, 6, 7]"
260,"Excellent dumplings served amid clean, chic decor.","['dumplings', 'decor']","['positive', 'positive']","['10', '44']","['19', '49']","[9, 5]"
261,Excellent lunch buffet for only $6.95.,['lunch buffet'],['positive'],['10'],['22'],[12]
262,Faan's got a great concept but a little rough on the delivery.,['delivery'],['negative'],['53'],['61'],[8]
